Date,Competition Name,Home team,Opponent,Away team,Minute,Score Home Team - When Messi Scored,Score Away Team - When Messi Scored,Goal Type,Goal Method,Final Game Result
Wednesday 2 May 2012,Liga,FC Barcelona,Málaga,Málaga,59,3,1,Penalty,Left foot,Won
Wednesday 2 May 2012,Liga,FC Barcelona,Málaga,Málaga,35,2,1,Penalty,Left foot,Won
Tuesday 20 March 2012,Liga,FC Barcelona,Granada,Granada,86,5,2,Field goal,Left foot,Won
Tuesday 20 March 2012,Liga,FC Barcelona,Granada,Granada,67,3,2,Field goal,Left foot,Won
Sunday 19 February 2012,Liga,FC Barcelona,Valencia,Valencia,85,4,1,,Left foot,Won
Sunday 19 February 2012,Liga,FC Barcelona,Valencia,Valencia,76,3,1,Rebound,Left foot,Won
Sunday 19 February 2012,Liga,FC Barcelona,Valencia,Valencia,27,2,1,Rebound,Left foot,Won
Sunday 19 February 2012,Liga,FC Barcelona,Valencia,Valencia,22,1,1,,Left foot,Won
Sunday 15 January 2012,Liga,FC Barcelona,Real Betis,Real Betis,86,4,2,Penalty,Left foot,Won
Saturday 9 April 2011,Liga,FC Barcelona,UD Almería,UD Almería,90+2,3,1,,Left foot,Won
Saturday 9 April 2011,Liga,FC Barcelona,UD Almería,UD Almería,53,1,1,Penalty,Left foot,Won
Saturday 13 November 2010,Liga,FC Barcelona,Villarreal,Villarreal,83,3,1,,Left foot,Won
Saturday 7 November 2009,Liga,FC Barcelona,Real Mallorca,Real Mallorca,87,4,1,Penalty,Left foot,Won
Sunday 25 October 2009,Liga,FC Barcelona,Real Zaragoza,Real Zaragoza,80,5,1,Field goal,Left foot,Won
Sunday 24 February 2008,Liga,FC Barcelona,Levante,Levante,44,2,1,,Left foot,Won
Wednesday 26 September 2007,Liga,FC Barcelona,Real Zaragoza,Real Zaragoza,11,2,1,,Left foot,Won
Saturday 10 March 2007,Liga,FC Barcelona,Real Madrid,Real Madrid,90,3,3,,Left foot,Draw
Saturday 10 March 2007,Liga,FC Barcelona,Real Madrid,Real Madrid,28,2,2,Rebound,Left foot,Draw
Saturday 10 March 2007,Liga,FC Barcelona,Real Madrid,Real Madrid,11,1,1,,Left foot,Draw
Saturday 18 February 2006,Liga,FC Barcelona,Real Betis,Real Betis,85,5,1,Rebound,Left foot,Won
Sunday 15 January 2006,Liga,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,51,2,1,Rebound,Left foot,Won
Sunday 20 January 2019,Liga,FC Barcelona,Leganés,Leganés,90+2,3,1,Field goal,Right foot,Won
Sunday 2 September 2018,Liga,FC Barcelona,Huesca,Huesca,16,1,1,Field goal,Right foot,Won
Saturday 9 September 2017,Liga,FC Barcelona,Espanyol,Espanyol,35,2,0,Field goal,Right foot,Won
Sunday 21 May 2017,Liga,FC Barcelona,Eibar,Eibar,90+2,4,2,Solo run,Right foot,Won
Wednesday 5 April 2017,Liga,FC Barcelona,Sevilla,Sevilla,28,2,0,Field goal,Right foot,Won
Sunday 19 March 2017,Liga,FC Barcelona,Valencia,Valencia,53,3,2,Field goal,Right foot,Won
Wednesday 1 March 2017,Liga,FC Barcelona,Sporting Gijón,Sporting Gijón,9,1,0,Field goal,Head,Won
Sunday 19 February 2017,Liga,FC Barcelona,Leganés,Leganés,4,1,0,Field goal,Right foot,Won
Saturday 14 January 2017,Liga,FC Barcelona,Las Palmas,Las Palmas,52,2,0,Rebound,Right foot,Won
Saturday 23 April 2016,Liga,FC Barcelona,Sporting Gijón,Sporting Gijón,12,1,0,Rebound,Head,Won
Sunday 17 April 2016,Liga,FC Barcelona,Valencia,Valencia,63,1,2,Field goal,Right foot,Lost
Wednesday 30 December 2015,Liga,FC Barcelona,Real Betis,Real Betis,33,2,0,Field goal,Right foot,Won
Saturday 23 May 2015,Liga,FC Barcelona,Deportivo La Coruña,Deportivo La Coruña,59,2,0,,Right foot,Draw
Saturday 23 May 2015,Liga,FC Barcelona,Deportivo La Coruña,Deportivo La Coruña,5,1,0,,Head,Draw
Sunday 15 February 2015,Liga,FC Barcelona,Levante,Levante,59,3,0,,Right foot,Won
Sunday 15 February 2015,Liga,FC Barcelona,Levante,Levante,38,2,0,,Right foot,Won
Sunday 1 February 2015,Liga,FC Barcelona,Villarreal,Villarreal,55,3,2,,Right foot,Won
Saturday 20 December 2014,Liga,FC Barcelona,Córdoba,Córdoba,90+1,5,0,,Right foot,Won
